Column1;Column2;Column3;Column4
Ohio Street Beach;06/03/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/03/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/03/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/02/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/02/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/01/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;06/01/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/01/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/01/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/01/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;06/01/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/31/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/31/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/31/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/31/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/31/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/31/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/31/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/31/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/31/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/31/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/31/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/30/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/30/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/29/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/29/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/28/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/28/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/27/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 05:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 04:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 03:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 02:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 01:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/27/2025 12:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/26/2025 11:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 10:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 09:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 08:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 07:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 06:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 05:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 04:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 03:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 02:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 01:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 12:00:00 PM;-100,000;-100,000
Ohio Street Beach;05/26/2025 11:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/26/2025 10:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/26/2025 09:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/26/2025 08:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/26/2025 07:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/26/2025 06:00:00 AM;-100,000;-100,000
Ohio Street Beach;05/26/2025 05:00:00 AM;-100,000;-100,000
